chave,idade,corRaca,trancamentos,notaIngresso,escolaPublica,nota,falta,ultimoSemestre,quantidadeRematricula,numDisciplinaUltimo,tempoUniversidade,aprovados,matriculado,reprovado_falta,reprovado_media,sexo_code,estadoCivil_code,deficiencia_code,matutino,vespertino,noturno,tipoVaga_code,moraCampus,grande_area,tempo_2_grau_superior,evadido
0B747A52-02C4-454A-8422-AD23D6B7D9E5,32.0,1,1,524.12,0,3.875,22.5,4.0,2,4,5,6.0,0.0,7.0,3.0,1,0,0,1,0,0,0,0,6,18,0
D1EAA580-C145-47AA-9111-ADA4C5F5DDD0,25.0,1,0,539.28,0,4.761774193548387,8.774193548387096,5.0,5,2,6,18.0,0.0,6.0,7.0,0,0,0,1,1,0,0,0,5,2,0
E528AFBC-0DE1-44DD-AD5F-0FCDC0BD1CD8,27.0,1,1,636.48,0,1.3875000000000002,25.375,1.0,2,0,3,0.0,0.0,7.0,1.0,1,0,0,1,1,0,0,1,5,10,1
A32801CC-2D01-4153-A309-7BA48610C49B,35.0,1,0,617.04,0,4.787745098039215,4.872549019607843,9.0,8,1,9,69.0,0.0,11.0,22.0,1,1,0,1,1,0,0,1,5,26,0
59890353-C191-4393-BDEF-7A2BAF34126B,23.0,1,1,632.68,0,5.13,4.333333333333333,1.0,2,1,4,9.0,0.0,0.0,3.0,1,0,0,1,1,0,0,0,5,2,1
9A80BC87-9B63-4AFF-A208-B4D9E350C6BE,28.0,1,1,494.28,0,1.846666666666667,7.666666666666667,1.0,2,1,3,2.0,0.0,3.0,10.0,0,0,0,1,1,0,0,0,5,6,1
B4D56DB0-71F3-4420-B889-1AE007A5142B,28.0,1,0,521.58,0,3.06625,18.625,1.0,1,8,2,2.0,0.0,4.0,2.0,1,0,0,1,1,0,0,1,5,6,1
A70E63ED-D3A4-41BA-9D1F-18D2B35EECA2,24.0,0,0,486.64,0,1.937,6.8,5.0,5,1,6,6.0,0.0,4.0,20.0,1,0,0,1,1,0,0,1,5,4,1
A39FA14A-4599-421E-95E4-452E500D3102,65.0,0,3,644.64,0,5.0640625,2.34375,9.0,7,1,11,45.0,4.0,4.0,11.0,1,0,0,1,1,0,0,1,4,26,0
80614E1F-AB1C-4936-87EB-77A6319C4E92,34.0,1,3,573.74,0,5.669729729729729,5.621621621621622,9.0,5,2,9,61.0,0.0,5.0,8.0,1,0,0,1,1,0,0,1,4,20,1
A3D67986-47CA-4CCD-BB42-3C2DCE0E9018,23.0,1,1,607.94,0,6.360769230769231,0.1538461538461538,1.0,2,2,3,11.0,0.0,0.0,2.0,0,0,0,1,1,0,0,0,3,2,1
BBCD7C7E-36D2-4738-99C2-E0594BB854A0,45.0,0,1,553.22,0,3.414285714285714,9.285714285714286,2.0,2,1,3,8.0,0.0,3.0,3.0,1,1,0,1,1,0,0,0,3,30,1
85C3B799-D990-465F-ADA6-304E966275B0,24.0,1,0,568.62,0,3.6026,5.68,6.0,9,1,11,25.0,8.0,4.0,13.0,1,0,0,1,1,0,0,0,3,4,0
F3DB7B54-CFEE-4546-B303-64D2F5C8BE95,24.0,1,1,583.06,0,0.3172727272727273,26.09090909090909,1.0,2,1,3,0.0,0.0,8.0,3.0,1,1,0,1,1,0,0,0,3,4,1
1B7772D6-9433-4276-8A35-770682E21831,23.0,1,0,647.06,0,6.791506849315068,1.6986301369863013,8.0,10,1,11,64.0,3.0,1.0,5.0,0,0,0,1,1,0,0,0,3,4,0
567DA69A-D795-4C7D-811B-C731E4EF4531,45.0,0,0,554.76,0,0.0,38.5,1.0,1,7,2,0.0,0.0,8.0,0.0,0,1,0,1,1,0,1,0,3,42,1
59F95C4C-0EE8-4480-893F-3E1219116D37,58.0,1,0,0.0,1,6.254545454545454,5.2727272727272725,6.0,14,1,13,36.0,0.0,1.0,7.0,0,1,0,0,0,1,2,0,7,4,0
43FB2BC6-D455-4819-9B72-0080DDF07DBD,36.0,4,0,0.0,0,7.944444444444445,0.0,5.0,1,2,1,18.0,0.0,0.0,0.0,1,0,0,0,0,1,2,0,7,18,1
2E062BE1-8F2D-44A8-AEC6-862C29963444,29.0,1,4,0.0,0,4.61875,32.125,5.0,2,1,2,4.0,0.0,4.0,0.0,0,0,0,0,0,1,2,0,7,6,1
FDB96BDE-3827-463B-AD02-37F70A4B6D17,35.0,1,4,0.0,0,0.0,60.0,1.0,1,0,1,0.0,0.0,1.0,0.0,0,0,0,0,0,1,2,0,7,16,1
85DEB2BD-1B74-4EC8-8A98-FD1DCAE02094,31.0,1,0,0.0,1,6.538243243243243,2.810810810810811,10.0,11,3,11,101.0,0.0,0.0,10.0,1,0,0,1,1,0,2,0,5,8,0
CCF650FD-6F67-4BCE-A533-C124BCC6464E,30.0,1,4,0.0,0,5.839166666666666,7.583333333333333,3.0,2,1,5,17.0,0.0,5.0,2.0,0,0,0,1,1,0,2,0,5,6,1
073BC2D1-E306-496A-BE21-E51645E284F9,39.0,1,4,0.0,0,6.669230769230769,8.615384615384615,7.0,3,2,4,31.0,0.0,7.0,1.0,0,0,0,1,1,0,2,0,4,24,1
47DBFF7A-387E-4812-A35A-64AF39A9F318,41.0,1,1,0.0,0,6.947407407407407,1.4074074074074074,6.0,2,1,2,26.0,0.0,1.0,0.0,0,1,0,1,1,0,2,0,4,26,1
E3079DF8-F629-498C-A3EE-293B6DF96ED0,32.0,1,0,0.0,0,7.067755102040818,16.571428571428573,9.0,12,3,11,47.0,0.0,1.0,1.0,0,0,0,1,1,0,2,0,4,12,0
9AE54080-5C15-45C4-9B28-7D5AB71F85B5,48.0,1,0,0.0,0,7.020204081632653,3.2448979591836733,9.0,14,2,14,46.0,0.0,0.0,3.0,0,0,0,1,1,0,2,0,4,4,0
FBA547F3-0AEB-4529-ACA9-262C80E761B2,35.0,4,3,0.0,0,1.7770370370370372,43.0,5.0,8,1,8,5.0,0.0,22.0,0.0,0,0,0,0,0,1,2,0,6,14,0
